GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 6273161135832759680 217.6266083 -23.0803763 16.158  2.220       2.978   4.8534  23.7375    23.00      nan      nan    3.573  nan      nan    nan   0.963     nan                                None     -14.344      -5.289     -15.599       0.061      -7.149       0.052
Gaia DR3 6283661025200664704 215.2509049 -20.4394550 17.394  2.695       1.816   1.4346  23.8126    23.38      nan      nan    3.298  nan      nan    nan   1.069     nan                                None     -12.697      -5.427     -12.332       0.111      -4.218       0.093
Gaia DR3 6296274863112780288 214.0883948 -18.0638293 17.078  2.114       1.666   1.4787  23.9799    23.38      nan      nan    3.882  nan      nan    nan   1.068     nan                                None     -14.624      -7.083     -14.456       0.104      -5.729       0.100
Gaia DR3 6290040838341932032 213.2338843 -19.3915995 18.304  3.014       2.841   0.7929  24.3021    23.83      nan      nan    3.898  nan      nan    nan   0.965     nan                                None     -14.443      -6.593     -12.215       0.186      -5.894       0.165
Gaia DR3 6290953359977528320 209.2926770 -18.5333351 18.553  2.831       2.426   4.6175  24.3345    24.81      nan      nan    3.464  nan      nan    nan   1.042     nan                                None     -11.808      -5.849     -13.549       0.285      -6.176       0.223
Gaia DR3 6275722924910275328 210.6107331 -22.5965242 17.647  2.481       1.546   4.4364  24.4720    24.96      nan      nan    3.436  nan      nan    nan   0.998     nan                                None     -12.060      -4.618     -11.622       0.129      -3.587       0.114
Gaia DR3 6294388440461981056 210.0932801 -17.6423367 14.025  1.409       1.339   4.2119  24.7390    24.46      nan      nan    3.758  nan      nan    nan   1.077     nan                                None     -13.042      -6.705     -12.216       0.023      -7.370       0.020
Gaia DR3 6277772655102569216 213.4390285 -20.9590418 19.467  2.683       0.601   1.5317  25.0204    23.98      nan      nan    3.898  nan      nan    nan   0.997     nan                                None     -14.498      -6.071     -14.262       0.423      -6.505       0.356
Gaia DR3 6279603621135194624 218.4351471 -21.5687571 14.022  1.578       0.755   4.5704  25.4497    22.56      nan      nan    3.739  nan      nan    nan   1.809     nan                                None     -15.211      -6.089     -14.620       0.044      -6.160       0.039
Gaia DR3 6284398797503281920 217.8381312 -18.1913530 11.189  0.968       0.641   3.8221  26.6872    22.25      nan      nan    3.833  nan      nan    nan   1.088     nan                                None     -15.442      -7.257     -15.958       0.029      -7.207       0.024
Gaia DR3 6285932027812665344 217.8756702 -17.6932885 19.011  2.735       2.196   4.0614  26.8851    22.16      nan      nan    3.356  nan      nan    nan   1.039     nan                                None     -13.529      -6.493     -13.838       0.302      -8.016       0.282
Gaia DR3 6286370183196243328 218.4074620 -16.3688013 17.669  2.784       0.484   5.2127  28.4163    21.78      nan      nan    3.748  nan      nan    nan   0.957     nan                                None     -15.242      -7.694     -14.865       0.124      -7.628       0.104
Gaia DR3 6272579837779334016 216.4156401 -24.5954867 17.052  2.429       2.145   5.5043  28.4651    23.54      nan      nan    3.466  nan      nan    nan   0.990     nan                                None     -13.625      -4.563     -14.165       0.104      -3.092       0.096
Gaia DR3 6301475072075661184 211.1280136 -14.4441548 18.702  2.809       2.564   5.8176  28.7110    23.66      nan      nan    3.635  nan      nan    nan   1.082     nan                                None     -12.899      -7.579     -12.510       0.317      -5.653       0.249
Gaia DR3 6300779390452984832 211.1548986 -15.5299067 13.282  1.121       0.677   4.8751  29.1075    23.84      nan      nan    3.376  nan      nan    nan   1.039     nan                                None     -11.987      -6.720     -12.311       0.018      -7.076       0.013
Gaia DR3 6282745711835431808 217.1688656 -20.6862144 19.418  2.944       0.375   3.1356  29.5622    22.83      nan      nan    3.275  nan      nan    nan   0.971     nan                                None     -13.042      -5.470     -13.160       0.378      -5.239       0.293
Gaia DR3 6275954543907136640 215.0416406 -23.2992899 19.575  2.504       2.157   3.8666  29.8092    23.80      nan      nan    3.301  nan      nan    nan   1.230     nan                                None     -12.659      -4.594     -11.336       0.617      -3.884       0.409
