Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5592785951913278976,110.8870032,-32.5374571,16.416,2.331,0.148,1.5090,10.0849,19.16,nan,nan,2.647,M2.4,nan,nan,0.998,nan,None
Gaia DR3 5590678802293868416,109.4480278,-35.3221127,18.938,3.101,2.338,1.5208,10.1030,19.02,nan,nan,2.631,M4.4,nan,nan,1.045,nan,None
Gaia DR3 5591526495701204096,111.6518702,-34.4433853,14.374,1.279,1.902,1.3317,10.1390,18.70,15.02,3.06,2.673,K3.6,nan,nan,0.972,nan,Gaia DR3
Gaia DR3 5591533195850163456,111.6715992,-34.3605008,17.766,2.883,0.303,1.3174,10.2630,18.71,nan,nan,2.600,M3.9,nan,nan,1.037,nan,None
Gaia DR3 5592559727395814784,111.4735163,-32.9536010,18.195,3.031,0.898,1.4563,10.3423,18.97,nan,nan,2.612,M4.2,nan,nan,0.859,nan,None
Gaia DR3 5590892932187600512,109.8655761,-34.1210053,19.339,3.316,4.521,0.3214,10.3729,19.13,nan,nan,2.568,M4.9,nan,nan,0.941,nan,None
Gaia DR3 5591558450258749568,111.9184176,-34.2274253,10.919,0.691,3.484,1.4797,10.3818,18.68,36.80,1.13,2.662,F7.9,nan,nan,1.005,nan,Gaia DR3
Gaia DR3 5592752245010280320,110.3553744,-32.4706854,13.572,1.038,0.184,1.4599,10.5768,19.28,15.41,2.43,2.608,K1.6,nan,nan,0.953,nan,Gaia DR3
Gaia DR3 5591737567576190848,111.9849854,-33.3793165,16.791,2.624,0.354,1.6051,10.6248,18.79,nan,nan,2.638,M3.3,nan,nan,0.968,nan,None
Gaia DR3 5590015457486859904,111.3872265,-34.8451030,13.085,0.978,0.817,1.3638,10.6641,18.69,7.52,3.28,2.677,G9.9,nan,nan,0.928,nan,Gaia DR3
Gaia DR3 5592713968260530944,110.2370613,-32.6574781,11.440,0.774,1.900,1.2661,10.8635,19.28,21.76,5.12,2.590,F9.7,nan,nan,3.528,nan,Gaia DR3
Gaia DR3 5592788009198903168,110.9411975,-32.4656764,19.618,2.848,0.555,1.5931,10.8967,19.16,nan,nan,2.619,M3.8,nan,nan,1.094,nan,None
Gaia DR3 5592499872729705728,111.8466979,-33.1885572,14.623,1.280,4.508,1.5779,10.9880,18.85,21.19,5.70,2.614,K3.6,nan,nan,0.996,nan,Gaia DR3
Gaia DR3 5591628269248524160,111.5286610,-33.9178612,17.497,2.919,0.145,1.1271,11.1627,18.81,nan,nan,2.696,M3.9,nan,nan,1.045,nan,None
Gaia DR3 5592696376073633536,110.7678014,-32.4789346,17.584,2.769,0.198,1.5275,11.2004,19.20,nan,nan,2.671,M3.6,nan,nan,0.948,nan,None
Gaia DR3 5590299131484503424,109.3666612,-35.4716944,17.274,2.778,2.238,1.6844,11.2032,19.01,nan,nan,2.645,M3.7,nan,nan,1.477,nan,None
Gaia DR3 5589999578990292352,111.6703356,-34.9898627,19.534,2.867,3.960,1.6337,11.2950,18.61,nan,nan,2.615,M3.8,nan,nan,1.026,nan,None
Gaia DR3 5592495096726291584,112.0486308,-33.2376867,14.293,1.452,3.105,1.7080,11.3668,18.80,-12.30,16.41,2.629,K5.0,nan,nan,1.655,nan,Gaia DR3
Gaia DR3 5590994740088658944,109.0721354,-34.2881652,19.089,3.241,3.359,0.9802,11.4080,19.27,nan,nan,2.704,M4.7,nan,nan,1.074,nan,None
Gaia DR3 5604745546045121408,109.8629827,-32.3951262,17.596,2.860,0.658,1.5487,11.4402,19.40,nan,nan,2.673,M3.8,nan,nan,1.012,nan,None
Gaia DR3 5603060883772761600,108.2044005,-33.9067639,19.573,2.371,4.263,1.6316,11.4587,19.50,nan,nan,2.665,M2.6,nan,nan,0.954,nan,None
Gaia DR3 5591508250680300544,111.7799095,-34.6895545,17.917,2.910,1.983,1.5350,11.4896,18.64,nan,nan,2.675,M3.9,nan,nan,0.994,nan,None
Gaia DR3 5592452696802088832,111.1809140,-33.3922994,14.816,1.637,0.370,0.9942,11.5324,18.97,30.36,5.36,2.573,K5.6,nan,nan,1.779,nan,Gaia DR3
Gaia DR3 5592710429207594496,110.1780050,-32.8297929,17.007,2.906,0.215,1.0926,11.7075,19.27,nan,nan,2.703,M3.9,nan,nan,1.803,nan,None
Gaia DR3 5603270787415564032,108.4031302,-32.8978070,17.611,2.845,3.305,1.7960,11.9007,19.62,nan,nan,2.634,M3.8,nan,nan,1.060,nan,None
Gaia DR3 5592762548628967680,110.4891944,-32.1910844,8.854,-0.071,0.483,1.7517,11.9680,19.30,18.89,2.86,2.617,B8.9,nan,nan,1.005,nan,Gaia DR3
Gaia DR3 5591618919100214528,112.0486354,-33.8256535,19.473,3.074,3.158,1.5624,11.9972,18.71,nan,nan,2.596,M4.3,nan,nan,1.030,nan,None
Gaia DR3 5591191728765323904,109.6228650,-33.2495892,16.704,--,1.818,0.8128,12.0120,19.32,nan,nan,2.564,nan,nan,nan,1.044,nan,None
Gaia DR3 5591179977739857920,109.2864269,-33.3532216,16.461,2.280,2.130,0.9303,12.0994,19.37,nan,nan,2.566,M2.2,nan,nan,0.994,nan,None
Gaia DR3 5604749806656139520,109.5726034,-32.4997920,14.449,0.886,2.578,1.5079,12.1518,19.45,44.66,3.48,2.687,G7.5,nan,nan,21.422,nan,Gaia DR3
Gaia DR3 5603079820284081792,108.6861467,-33.6592551,20.163,2.703,3.148,1.2613,12.2076,19.45,nan,nan,2.577,M3.5,nan,nan,0.982,nan,None
Gaia DR3 5592858347883442560,110.6150295,-32.1156944,9.769,0.119,0.359,1.8447,12.2988,19.28,11.31,4.62,2.628,A3.5,nan,nan,0.950,nan,Gaia DR3
Gaia DR3 5590647333073099776,108.3091008,-34.5603068,16.115,1.969,2.331,1.6657,12.3533,19.37,nan,nan,2.599,M0.6,nan,nan,0.988,nan,None
Gaia DR3 5592860645683055616,110.4617959,-32.0956982,17.624,2.896,0.531,1.8429,12.3634,19.32,nan,nan,2.652,M3.9,nan,nan,1.001,nan,None
Gaia DR3 5592839686245415296,110.8134914,-32.3275061,19.577,2.824,1.156,1.6833,12.3874,19.21,nan,nan,2.601,M3.7,nan,nan,0.995,nan,None
Gaia DR3 5590731823670923136,109.2908058,-35.0972284,16.572,1.128,3.478,1.3805,12.4141,19.09,nan,nan,2.580,K2.2,nan,nan,0.967,nan,None
Gaia DR3 5592540245416913664,111.9918677,-32.8250356,17.897,2.784,0.126,1.8755,12.4192,18.88,nan,nan,2.635,M3.7,nan,nan,1.022,nan,None
Gaia DR3 5591563599917988992,112.1051040,-34.0946758,18.564,3.155,0.941,1.6130,12.5705,18.66,nan,nan,2.685,M4.5,nan,nan,0.990,nan,None
Gaia DR3 5604791862973284480,110.0902255,-32.0321736,16.280,2.306,0.225,1.8914,12.6923,19.41,nan,nan,2.653,M2.3,nan,nan,0.990,nan,None
Gaia DR3 5592861749497777664,110.5850428,-32.0637029,16.244,2.251,0.131,1.8909,12.7616,19.30,nan,nan,2.621,M2.0,nan,nan,0.996,nan,None
Gaia DR3 5604742556747843584,109.9791894,-32.4006043,15.181,1.798,1.970,1.5301,12.8326,19.38,21.38,9.30,2.693,K7.7,nan,nan,0.981,nan,Gaia DR3
Gaia DR3 5592541894690663168,112.0470398,-32.7840105,15.424,2.077,0.286,1.9372,12.8385,18.87,26.96,7.18,2.643,M0.9,nan,nan,1.032,nan,Gaia DR3
Gaia DR3 5589974358941113856,110.8259858,-35.3882916,12.101,0.762,3.087,1.5620,12.8479,18.72,19.43,0.96,2.692,F9.5,nan,nan,0.874,nan,Gaia DR3
Gaia DR3 5604784750507564544,109.9641399,-32.1546095,13.786,1.366,1.084,1.7762,12.8518,19.42,23.86,7.07,2.602,K4.4,nan,nan,1.093,nan,Gaia DR3
Gaia DR3 5592674523280213504,110.9856586,-32.7495535,18.589,3.068,0.385,1.3562,12.8799,19.11,nan,nan,2.575,M4.3,nan,nan,1.060,nan,None
Gaia DR3 5604778011699119232,110.3158884,-32.0266528,9.325,-0.009,0.190,1.8996,12.9689,19.36,13.51,3.91,2.660,A0.7,nan,nan,1.086,nan,Gaia DR3
Gaia DR3 5602684442777285760,107.9831938,-34.0056952,17.018,2.816,4.410,1.8159,12.9838,19.53,nan,nan,2.604,M3.7,nan,nan,1.852,nan,None
Gaia DR3 5592609716515072512,111.6694952,-32.5059392,18.899,3.327,1.122,1.8918,12.9869,18.99,nan,nan,2.614,M4.9,nan,nan,1.012,nan,None
Gaia DR3 5592851166698244992,110.8779374,-32.1222042,17.386,2.998,1.263,1.8953,12.9888,19.22,nan,nan,2.615,M4.1,nan,nan,1.030,nan,None
Gaia DR3 5592592021250205824,111.8088267,-32.7068183,20.122,3.155,3.884,1.8308,13.0284,18.93,nan,nan,2.605,M4.5,nan,nan,1.075,nan,None
Gaia DR3 5592846523828932352,110.9072768,-32.2254083,13.358,1.031,0.259,1.8058,13.0337,19.20,12.23,3.34,2.602,K1.5,nan,nan,0.940,nan,Gaia DR3
