GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 3492502001623237888 176.7388194 -22.5630099 13.332  1.139       0.000   0.0000   0.0000    34.82    34.82     1.22    2.964  nan      nan    nan   1.059     nan                            Gaia_DR3     -46.391      -1.147     -46.391       0.020      -1.147       0.011
Gaia DR3 3493880166433343104 178.9384228 -22.2556481 19.164  2.613       2.872   2.0566  12.1215    32.15      nan      nan    2.970  nan      nan    nan   1.020     nan                                None     -47.218      -1.948     -45.993       0.299      -3.265       0.217
Gaia DR3 3492402358382124416 177.1306859 -23.2140101 16.030  2.246       2.761   0.7444  14.1767    34.37      nan      nan    3.087  nan      nan    nan   1.745     nan                                None     -48.465      -1.068     -49.491       0.078       0.407       0.058
Gaia DR3 3533917065587149824 173.6934772 -24.0449815 19.521  2.719       2.051   3.1651  18.7284    38.41      nan      nan    2.985  nan      nan    nan   1.102     nan                                None     -45.608       0.412     -45.661       0.426      -0.877       0.334
Gaia DR3 3543555453237426176 175.3978010 -19.2848908 16.473  2.212       1.871   3.5092  21.0607    36.29      nan      nan    3.006  nan      nan    nan   0.987     nan                                None     -46.574      -2.062     -47.682       0.060      -1.640       0.046
Gaia DR3 3543507624481529728 174.8726622 -19.8494996 14.125  1.277       1.451   3.2232  21.1004    36.95    47.58     2.49    2.889  nan      nan    nan   0.991     nan                            Gaia_DR3     -44.577      -1.625     -44.631       0.021      -2.507       0.013
Gaia DR3 3491321057415859200 179.2036588 -24.0409463 19.035  2.851       1.198   2.7034  24.3413    31.91      nan      nan    3.138  nan      nan    nan   0.987     nan                                None     -49.977      -1.489     -49.392       0.249      -0.954       0.152
Gaia DR3 3491751035182222848 175.1926888 -24.7293539 12.522  0.833       2.951   2.5882  26.0948    36.67    22.05     1.03    2.791  nan      nan    nan   0.961     nan                            Gaia_DR3     -43.177       0.186     -43.447       0.012      -1.530       0.010
