GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 3603529272750802560 203.7581969 -17.5034966 11.767  0.801       0.000   0.0000   0.0000    -3.31    -3.31     0.87    3.419  nan      nan    nan   1.009     nan                            Gaia_DR3      12.037      -3.747      12.037       0.023      -3.747       0.015
Gaia DR3 3603529277045332608 203.7585476 -17.5046608 17.666  1.747       0.967   0.0012   5.1056    -3.31      nan      nan    3.361  nan      nan    nan   1.049     nan                                None      11.831      -3.683      12.274       0.175      -4.205       0.114
Gaia DR3 3602903345692231040 202.2351473 -19.1377620 17.444  2.767       1.039   2.1820  12.6532    -3.58      nan      nan    3.353  nan      nan    nan   1.004     nan                                None      11.710      -3.842      11.352       0.126      -4.484       0.105
Gaia DR3 3603541023781232768 203.5137190 -17.4766110 19.507  2.778       2.027   0.2347  12.8652    -3.38      nan      nan    3.276  nan      nan    nan   0.985     nan                                None      11.518      -3.604      12.895       0.470      -3.857       0.237
Gaia DR3 6293247701443222784 205.3426733 -18.9723189 16.580  2.097       2.946   2.1028  13.4739    -2.74      nan      nan    3.329  nan      nan    nan   1.089     nan                                None      11.806      -3.601      12.162       0.073      -1.564       0.050
Gaia DR3 3605397897057556608 205.9142348 -15.4394900 16.634  2.609       0.650   2.9214  16.4044    -2.89      nan      nan    3.345  nan      nan    nan   1.378     nan                                None      11.894      -3.461      12.180       0.092      -3.819       0.070
Gaia DR3 3603704507416755072 204.8152441 -16.6138100 18.632  2.501       2.230   1.3464  19.4538    -3.10      nan      nan    3.220  nan      nan    nan   1.992     nan                                None      11.392      -3.433      12.875       0.537      -3.130       0.428
Gaia DR3 6292505492438768384 206.0271148 -19.0869303 17.916  2.879       1.341   2.6735  19.6250    -2.54      nan      nan    3.597  nan      nan    nan   1.174     nan                                None      12.794      -3.845      13.674       0.201      -3.335       0.182
Gaia DR3 6292756387249083264 203.5098006 -19.9623869 19.894  2.627       2.689   2.4701  20.1583    -3.15      nan      nan    3.617  nan      nan    nan   0.971     nan                                None      12.718      -4.088      14.328       0.504      -5.357       0.305
Gaia DR3 6292658638088472064 204.0032604 -20.5458007 17.113  2.222       2.636   3.0511  20.7166    -2.97      nan      nan    3.271  nan      nan    nan   3.876     nan                                None      11.529      -3.684      13.344       0.391      -3.785       0.290
Gaia DR3 3608429555557712256 201.2655459 -13.7679619 16.976  2.674       1.280   4.4400  22.8502    -4.34      nan      nan    3.394  nan      nan    nan   1.068     nan                                None      11.788      -3.680      11.048       0.121      -3.141       0.081
Gaia DR3 3507000746061910528 200.0843589 -19.2443932 16.041  2.119       1.935   3.8968  24.1703    -4.15      nan      nan    3.597  nan      nan    nan   1.032     nan                                None      12.406      -4.281      13.778       0.053      -4.803       0.036
Gaia DR3 3608212642529155200 201.6973236 -14.2019663 18.040  2.827       2.081   3.8508  25.9607    -4.19      nan      nan    3.239  nan      nan    nan   1.021     nan                                None      11.278      -3.513      12.611       0.186      -3.022       0.144
Gaia DR3 3607283971816113664 205.6030870 -12.7497217 15.832  2.353       1.603   5.0762  26.0144    -3.21      nan      nan    3.402  nan      nan    nan   1.062     nan                                None      12.077      -3.433      13.162       0.055      -3.813       0.049
Gaia DR3 6295274857287171456 205.8148201 -16.8938353 14.760  1.574       2.756   2.0571  27.4853    -2.79     6.50     6.63    3.148  nan      nan    nan   1.031     nan                            Gaia_DR3      11.187      -3.310       9.436       0.030      -3.838       0.025
Gaia DR3 6295402396340581760 206.4341931 -16.5090114 17.687  2.460       2.946   2.7454  27.5670    -2.65      nan      nan    3.726  nan      nan    nan   1.073     nan                                None      13.276      -3.863      15.079       0.147      -2.411       0.122
Gaia DR3 3611985174298696832 207.7278932 -13.7733486 18.340  2.863       1.633   5.3405  28.0248    -2.51      nan      nan    3.515  nan      nan    nan   1.091     nan                                None      12.586      -3.478      12.793       0.251      -2.286       0.188
Gaia DR3 6292677020548432000 203.6481724 -20.4475220 13.549  1.122       1.857   2.9459  29.6960    -3.07     1.43     3.02    3.148  nan      nan    nan   0.992     nan                            Gaia_DR3      11.075      -3.566      11.129       0.019      -2.334       0.016
Gaia DR3 6294131910655284480 207.7993775 -17.9389266 17.976  2.658       1.964   3.8739  29.9928    -2.14      nan      nan    3.181  nan      nan    nan   1.025     nan                                None      11.394      -3.258      11.678       0.173      -4.544       0.196
