target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,central_concentration_10pc,peak_shell,peak_radius_mid_pc,monotonic_fraction,hollow_core_flag,anti_cluster_flag,n_0_10pc,density_0_10pc,n_10_20pc,density_10_20pc,n_20_30pc,density_20_30pc,n_30_40pc,density_30_40pc,n_40_50pc,density_40_50pc,n_50_60pc,density_50_60pc,n_60_70pc,density_60_70pc,csv_path,cluster,is_field_like,cluster_notes,field_notes,is_confirmed_cluster,reference_label,model_region
K2-264,3404,3404,1449,1663,0.012811972918897576,0.001422982098719473,9.003607937462416,0.969542471696227,0.9571417059290936,0.012400765767133337,0.9872096724701105,0.9931459904043866,0.9940227136879857,0.9872096724701105,ok,8.674509803921568,0_10,5.0,1.0,False,False,745,0.17785564890519304,470,0.016029176411398033,234,0.0029401781592239616,292,0.0018840504074121667,376,0.001471530949243098,549,0.0014402647872107234,738,0.001387279700808883,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-264.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-264,3404,3404,1449,1663,0.012811972918897576,0.001422982098719473,9.003607937462416,0.969542471696227,0.9571417059290936,0.012400765767133337,0.9872096724701105,0.9931459904043866,0.9940227136879857,0.9872096724701105,ok,8.674509803921568,0_10,5.0,1.0,False,False,745,0.17785564890519304,470,0.016029176411398033,234,0.0029401781592239616,292,0.0018840504074121667,376,0.001471530949243098,549,0.0014402647872107234,738,0.001387279700808883,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-264.csv,Praesepe,False,,,True,cluster,robust_cluster_candidate
K2-33,8995,8995,3030,4864,0.02679108208713572,0.004161987329026769,6.4370888157894735,0.893659671840122,0.8888925090440934,0.004767162796028512,0.9946655724251129,0.9967105263157895,0.9979482970865818,0.9946655724251129,ok,5.945049827698613,0_10,5.0,1.0,False,False,446,0.10647465692847798,1492,0.05088410894852312,1092,0.01372083140971182,1101,0.0071039023923314916,1433,0.005608254920918509,1608,0.004218480469644523,1823,0.003426844030588881,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-33.csv,Sco-Cen,False,,,True,cluster,robust_cluster_candidate
TOI-837,5584,5584,1331,3558,0.011768623847517373,0.003044480040435289,3.8655611766910245,0.8678408300818546,0.858955084080086,0.008885746001768613,0.9897610878703063,0.9925428784489188,0.9971973094170403,0.9897610878703063,ok,3.6627391558028752,0_10,5.0,1.0,False,False,288,0.06875493541569878,467,0.015926862519410386,576,0.007237361622705136,695,0.004484298058737863,912,0.0035692452811428334,1305,0.0034235802318943426,1341,0.0025207887246405315,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-837.csv,,False,,,False,unknown,robust_cluster_candidate
K2-136,1494,1494,1001,93,0.008850783224165958,7.957747154594769e-05,111.2222222222222,0.9445508298148743,0.8444111895360366,0.1001396402788377,0.8939817348967186,0.990108803165183,0.9029126213592233,0.8939817348967187,ok,23.76350386898054,0_10,5.0,1.0,False,False,112,0.026738030439438416,569,0.019405534846990383,320,0.004020756457058409,400,0.0025808909690577626,93,0.00036396909116917053,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-136.csv,Hyades,False,,,True,cluster,robust_cluster_candidate
TOI-1227,7220,7220,1323,4929,0.011697888317254308,0.004217605991935228,2.7735849056603765,0.7683211458707917,0.7610133455220769,0.00730780034871481,0.9904886122320213,0.9924981245311327,0.9979752986434501,0.9904886122320213,ok,2.6257419026623703,0_10,5.0,0.8333333333333334,False,False,168,0.040107045659157625,425,0.014494468031583326,730,0.009172350667664494,968,0.006245756145119786,1271,0.004974244245978664,1525,0.0040007355200297875,2133,0.004009576696240308,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1227.csv,Sco-Cen,False,,,True,cluster,robust_cluster_candidate
TOI-2796,2976,2976,681,1992,0.006021362013643374,0.0017044981002099762,3.532630522088353,0.7400825921777512,0.7257290615201822,0.014353530657568947,0.9806055015895826,0.9855282199710564,0.995004995004995,0.9806055015895826,ok,3.4728637133865896,10_20,15.0,0.8333333333333334,False,False,23,0.005490845536670389,306,0.010436016982739995,352,0.00442283210276425,303,0.001955024909061255,471,0.0018433273326954765,658,0.0017262189981505573,863,0.0016222525498618783,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-2796.csv,,False,,,False,unknown,robust_cluster_candidate
HD_114082,7859,7859,1880,4856,0.01662284961182018,0.004155141955130344,4.000549148819329,0.7215179468074967,0.7162254626564134,0.005292484151083299,0.9926647920893708,0.9947089947089947,0.9979449239621866,0.9926647920893708,ok,3.680040636053347,10_20,15.0,0.8333333333333334,False,False,56,0.013369015219719208,801,0.027317809160701752,1023,0.0128538557986586,1123,0.007245851395629668,1498,0.005862641920122768,1673,0.004389003622957268,1685,0.0031674340052343744,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_114082.csv,Sco-Cen,False,,,True,cluster,robust_cluster_candidate
TOI-880,916,916,321,177,0.0028382631518054672,0.00015145389745841657,18.74011299435028,0.7482544821293653,0.6868438682188821,0.06141061391048319,0.9179281709937476,0.9697885196374623,0.946524064171123,0.9179281709937477,ok,6.314098972922503,0_10,5.0,0.8333333333333334,False,False,19,0.004535915878119017,81,0.0027624750836664695,221,0.0027768349281559637,418,0.002697031062665362,177,0.0006927153670639052,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-880.csv,,False,,,False,unknown,robust_cluster_candidate
K2-91,757,757,254,184,0.0022458530858523013,0.00015744359961778896,14.26449275362319,0.7268098584615991,0.6632338633446831,0.06357599511691592,0.9125273352077475,0.9621212121212122,0.9484536082474226,0.9125273352077475,ok,5.910021353361314,0_10,5.0,1.0,False,False,12,0.002864788975654116,69,0.002353219515715881,173,0.0021737214595972023,319,0.0020582605478235657,184,0.000720110890055133,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-91.csv,,False,,,False,unknown,robust_cluster_candidate
