target,gaia_dr3_id,notes
TOI-3693,4.044330184474761e+17,none
TOI-6651,3.633149643571008e+17,none
TOI-2046,5.387594649589422e+17,none
K2-281,2.577432178095423e+18,none
K2-222,2.5840938441702707e+18,none
TOI-1468,2.785466581298776e+18,none
TOI-1468,2.785466581298776e+18,none
K2-221,2.582898606311168e+18,none
EPIC 220492298,2.576563907506735e+18,none
TOI-169,4.684513614202234e+18,none
K2-204,2.533185974768028e+18,none
WASP-187,3.064103928957677e+17,none
K2-210,2.5380518634765373e+18,none
TOI-4406,4.910452812646301e+18,none
K2-386,2.576755978444329e+18,none
K2-150,2.5794951711467366e+18,none
K2-212,2.5388249232301466e+18,none
K2-215,2.5646211152850386e+18,none
WASP-186,2.7906911470207867e+18,none
TOI-277,2.3534409749552056e+18,none
TOI-1467,4.0314112664592966e+17,none
K2-151,2.579620343673729e+18,none
K2-387,2.5805055536131246e+18,none
K2-113,2.5647876225771894e+18,none
TOI-4527,2.564324345929277e+18,none
WASP-118,2.5625695640266834e+18,none
K2-295,2.5647846332799534e+18,none
TOI-2236,4.613145315172329e+18,none
TOI-4010,5.253523251103104e+17,none
TOI-4010,5.253523251103104e+17,none
TOI-4010,5.253523251103104e+17,none
GJ 3090,4.933912198895807e+18,none
K2-384,2.5351075087762493e+18,none
K2-384,2.5351075087762493e+18,none
K2-384,2.5351075087762493e+18,none
K2-384,2.5351075087762493e+18,none
K2-384,2.5351075087762493e+18,none
K2-208,2.534388703049641e+18,none
TOI-2411,2.471334872292964e+18,none
HAT-P-51,3.1670632285770496e+17,none
K2-211,2.559203924574352e+18,none
TOI-4515,2.89464440515103e+17,none
HAT-P-53,3.2338688249298214e+17,none
TOI-1695,5.3498861681653766e+17,none
TOI-6330,4.075309311166003e+17,none
TIC 237913194,4.71581334728659e+18,none
TOI-2120,5.132998609045228e+17,none
NGTS-11,2.453680078509741e+18,none
TOI-125,4.698692748651744e+18,none
TOI-125,4.698692748651744e+18,none
TOI-125,4.698692748651744e+18,none
WASP-105,4.917441922731088e+18,none
WASP-18,4.95537136733461e+18,"notes:
substellar companion
wasp-18b
detected, see
wasp-18
in the
extrasolar planets encyclopaedia
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links (may be"
WASP-97,4.911563216311083e+18,none
HIP 8152,5.140454049422547e+18,none
HIP 8152,5.140454049422547e+18,none
TOI-2152,5.6210975903619834e+17,none
WASP-76,2.512326349403276e+18,none
WASP-181,2.512413932376364e+18,none
HAT-P-60,3.596781879137604e+17,none
TOI-849,5.023809953208388e+18,none
WASP-71,2.507901914613201e+18,"notes:
substellar companion
wasp-71b
detected, see also
wasp-71
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
HIP 9618,9.446897820218035e+16,none
HIP 9618,9.446897820218035e+16,none
HAT-P-32,3.563482868862303e+17,"notes:
substellar companion
hat-p-32b
detected, see also
hat-p-32
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links"
TOI-2328,4.619939536821436e+18,none
WASP-53,5.136559128264764e+18,"notes:
substellar companion
wasp-53b
detected, see also
wasp-53
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
TOI-262,5.019835424832216e+18,none
WASP-156,2.514360548993901e+18,none
HAT-P-29,3.5905844131483846e+17,"notes:
substellar companion
hat-p-29b
detected, see also
hat-p-29
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links"
TOI-2421,4.968289907406396e+18,none
TOI-5319,1.0246108770656102e+17,none
WASP-116,2.4937850786655713e+18,none
HAT-P-38,3.2488922769329856e+17,none
TOI-2384,4.699702272124241e+18,none
