GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 3515865416826633984 190.1519524 -19.2843544 11.999  0.954       0.000   0.0000   0.0000    31.82    31.82     0.51    3.720  nan      nan    nan   1.011     nan                            Gaia_DR3     -23.151     -12.725     -23.151       0.019     -12.725       0.015
Gaia DR3 3522168229794189184 190.1307791 -18.4400893 16.611  2.415       2.118   0.8445   7.2905    31.59      nan      nan    3.638  nan      nan    nan   0.992     nan                                None     -22.631     -12.798     -21.416       0.070     -13.877       0.052
Gaia DR3 3515935411908977792 189.1119316 -19.6373279 11.009  0.722       2.729   1.0422   8.9049    32.42    11.63     3.20    3.621  nan      nan    nan   1.151     nan                            Gaia_DR3     -22.185     -12.097     -21.709       0.026     -10.069       0.018
Gaia DR3 3516439366191718912 187.7838360 -19.2055307 16.697  2.492       1.337   2.2372  10.5571    32.93      nan      nan    3.739  nan      nan    nan   1.502     nan                                None     -22.445     -12.513     -21.534       0.112     -13.043       0.078
Gaia DR3 3515195608087276160 188.5154983 -20.8627355 19.613  2.668       2.956   2.2031  13.7351    33.04      nan      nan    3.602  nan      nan    nan   0.919     nan                                None     -21.869     -11.423     -19.625       0.429     -11.492       0.273
Gaia DR3 3515489418209181184 188.3964397 -20.5381086 17.266  2.570       1.971   2.0727  18.7684    33.01      nan      nan    3.513  nan      nan    nan   0.995     nan                                None     -21.289     -11.264     -19.917       0.106     -11.762       0.061
Gaia DR3 3502742303168646016 190.0953759 -22.4929702 17.451    nan       2.959   3.2091  22.7205    32.71      nan      nan    3.504  nan      nan    nan   0.996     nan                                None     -21.786     -10.641     -20.341       0.175      -9.001       0.212
Gaia DR3 3514768177236958464 186.1191359 -20.3612894 11.206  0.815       2.547   3.9436  23.0749    34.01     2.02     0.31    3.932  nan      nan    nan   1.773     nan                            Gaia_DR3     -22.966     -12.368     -22.839       0.025     -10.260       0.022
Gaia DR3 3499188746011039232 193.9995748 -22.8034637 18.963  3.083       2.313   5.0272  26.6987    30.88      nan      nan    3.567  nan      nan    nan   0.917     nan                                None     -23.395     -11.302     -24.743       0.385     -10.202       0.332
Gaia DR3 3523150746513097856 190.9255518 -16.7024874 19.829  2.196       2.268   2.6846  27.1225    30.68      nan      nan    3.418  nan      nan    nan   1.088     nan                                None     -21.512     -12.797     -23.102       0.553     -13.176       0.406
Gaia DR3 3514852152438495232 184.6238458 -20.8868445 11.217  0.844       0.598   5.4331  27.5798    34.81     2.52     0.38    3.594  nan      nan    nan   1.925     nan                            Gaia_DR3     -20.461     -10.877     -20.498       0.045     -10.425       0.043
Gaia DR3 3515353667178869120 188.0080556 -21.0377042 17.223  2.601       1.397   2.6691  28.3171    33.32      nan      nan    4.113  nan      nan    nan   1.070     nan                                None     -24.779     -12.879     -25.106       0.098     -11.713       0.071
