GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 5604807801589674624 109.2902424 -32.2129898 16.661  2.922       2.921   1.8617  15.0337    19.55      nan      nan    2.699  nan      nan    nan   3.012     nan                                None      -8.028       4.939      -9.497       0.308       5.715       0.367
Gaia DR3 5592838075638030592 110.7859506 -32.3745126 16.342  2.315       0.724   1.6313  15.0355    19.21      nan      nan    2.567  nan      nan    nan   0.979     nan                                None      -7.930       4.617      -8.056       0.037       4.988       0.046
Gaia DR3 5592828111313001472 111.2768588 -31.9734858 11.142  0.538       0.395   2.1587  15.1488    19.16      nan      nan    2.604  nan      nan    nan   1.045     nan                                None      -8.142       4.573      -8.055       0.013       4.771       0.016
Gaia DR3 5592872774673376896 111.1310043 -32.0525305 19.659  3.056       1.110   2.0360  15.1668    19.18      nan      nan    2.688  nan      nan    nan   0.997     nan                                None      -8.374       4.747      -8.145       0.327       5.332       0.353
Gaia DR3 5592886110553681024 111.1732453 -31.7826815  7.624 -0.142       1.888   2.2995  15.2884    19.21      nan      nan    2.629  nan      nan    nan   1.015     nan                                None      -8.199       4.589      -7.449       0.045       5.319       0.049
Gaia DR3 5592886935186690688 111.1503805 -31.7566079 13.166  0.940       0.387   2.3169  15.3444    19.22      nan      nan    2.635  nan      nan    nan   1.013     nan                                None      -8.213       4.597      -8.150       0.011       4.802       0.012
Gaia DR3 5590340049632770944 109.0591387 -35.5969474 13.357  1.063       2.008   1.9073  15.3587    19.05      nan      nan    2.578  nan      nan    nan   0.947     nan                                None      -7.622       5.355      -6.948       0.012       6.213       0.013
Gaia DR3 5592878173453615872 110.9521416 -31.9371790 15.707  2.226       1.123   2.0907  15.4230    19.24      nan      nan    2.592  nan      nan    nan   1.832     nan                                None      -8.040       4.570      -7.979       0.044       5.180       0.053
Gaia DR3 5604890269265077760 110.3067443 -31.8166260 16.927  2.821       1.021   2.1088  15.5113    19.39      nan      nan    2.686  nan      nan    nan   1.373     nan                                None      -8.201       4.762      -7.783       0.065       5.162       0.079
Gaia DR3 5592893978933186048 110.9451465 -31.7212008 16.528  2.413       0.447   2.2954  15.5302    19.27      nan      nan    2.616  nan      nan    nan   0.952     nan                                None      -8.115       4.573      -8.111       0.041       4.820       0.046
Gaia DR3 5591749176868993280 112.5675047 -33.3947331 19.072  3.102       1.202   2.0638  15.5737    18.66      nan      nan    2.587  nan      nan    nan   0.948     nan                                None      -8.342       4.700      -8.597       0.209       4.096       0.253
Gaia DR3 5591709461309353984 112.8832794 -33.2980928 17.571    nan       2.235   2.3439  15.5992    18.61      nan      nan    2.650  nan      nan    nan   1.105     nan                                None      -8.608       4.771      -9.769       0.147       4.311       0.326
Gaia DR3 5591525705427249664 111.5817001 -34.5299364 17.711  2.935       1.260   1.3156  15.6233    18.70      nan      nan    2.731  nan      nan    nan   1.022     nan                                None      -8.602       5.258      -9.315       0.079       5.128       0.093
Gaia DR3 5592811030219078144 111.6106365 -32.2552162 19.398  3.138       0.545   2.0579  15.6357    19.04      nan      nan    2.693  nan      nan    nan   1.036     nan                                None      -8.489       4.757      -8.222       0.265       4.600       0.320
Gaia DR3 5592757811278905216 110.2163390 -32.3197881 18.415  3.071       1.200   1.6030  15.6742    19.34      nan      nan    2.720  nan      nan    nan   0.968     nan                                None      -8.286       4.927      -7.602       0.111       4.845       0.126
Gaia DR3 5592777426394961280 111.2201389 -32.5045071 19.922  3.183       1.315   1.6678  15.6895    19.09      nan      nan    2.562  nan      nan    nan   1.015     nan                                None      -8.001       4.600      -8.526       0.319       5.079       0.360
Gaia DR3 5592867036597008128 110.8616289 -31.8879695 18.904  3.317       0.853   2.1155  15.6895    19.26      nan      nan    2.590  nan      nan    nan   1.091     nan                                None      -8.017       4.564      -8.480       0.167       4.611       0.217
Gaia DR3 5591510617201013632 111.9163472 -34.6808451 19.232  3.209       2.000   1.6295  15.7188    18.61      nan      nan    2.560  nan      nan    nan   1.006     nan                                None      -8.131       4.929      -9.203       0.218       4.805       0.247
Gaia DR3 5592608071548308864 111.9360071 -32.3344984 10.256  0.257       0.073   2.1696  15.7865    18.96      nan      nan    2.594  nan      nan    nan   0.989     nan                                None      -8.240       4.571      -8.200       0.015       4.576       0.017
Gaia DR3 5592868587085432832 110.6263100 -31.9469931 17.206  2.978       0.560   2.0120  15.8074    19.30      nan      nan    2.580  nan      nan    nan   1.098     nan                                None      -7.940       4.575      -8.144       0.063       4.802       0.073
Gaia DR3 5592900094966521984 111.0517453 -31.6766758 12.862  1.061       0.833   2.3647  15.8235    19.25      nan      nan    2.623  nan      nan    nan   1.426     nan                                None      -8.156       4.568      -8.100       0.017       5.025       0.019
Gaia DR3 5592857591969194880 110.6304999 -32.1260403 13.669  1.186       1.964   1.8372  15.8646    19.28      nan      nan    2.569  nan      nan    nan   2.455     nan                                None      -7.906       4.587      -8.461       0.026       5.494       0.031
Gaia DR3 5592886243689939456 111.1871258 -31.7627678 18.314  3.350       0.687   2.3223  15.8878    19.21      nan      nan    2.611  nan      nan    nan   1.078     nan                                None      -8.147       4.554      -8.038       0.126       4.916       0.136
Gaia DR3 5592880235037738496 111.1338295 -31.8034472 16.853  2.577       0.148   2.2681  15.9653    19.22      nan      nan    2.601  nan      nan    nan   1.050     nan                                None      -8.106       4.548      -8.177       0.058       4.587       0.059
Gaia DR3 5603528627190488960 108.7214304 -31.8839338 10.340  0.293       2.840   2.3737  15.9931    19.72      nan      nan    2.618  nan      nan    nan   0.821     nan                                None      -7.670       4.769      -6.539       0.012       5.854       0.013
Gaia DR3 5592893905908057728 110.9706880 -31.7264971 10.161  0.186       0.474   2.2965  16.0079    19.26      nan      nan    2.674  nan      nan    nan   0.894     nan                                None      -8.300       4.673      -8.036       0.014       4.713       0.017
Gaia DR3 5592895868718886400 110.8135554 -31.7385050 13.969  1.297       1.127   2.2497  16.0107    19.29      nan      nan    2.598  nan      nan    nan   0.991     nan                                None      -8.033       4.555      -7.926       0.015       3.946       0.015
Gaia DR3 5604749944091783040 109.5985237 -32.4665048 18.801  3.172       1.845   1.5325  16.0522    19.45      nan      nan    2.554  nan      nan    nan   1.084     nan                                None      -7.656       4.697      -6.878       0.160       5.314       0.200
Gaia DR3 5602624996131365888 107.4702334 -34.7350425 16.423  2.436       2.569   2.3732  16.0529    19.51      nan      nan    2.662  nan      nan    nan   0.998     nan                                None      -7.536       5.489      -6.850       0.041       6.757       0.047
Gaia DR3 5589784250806568064 111.7839187 -35.4028838 10.211  0.289       1.059   1.9882  16.0730    18.52      nan      nan    2.704  nan      nan    nan   1.055     nan                                None      -8.559       5.351      -8.034       0.017       5.055       0.018
Gaia DR3 5592839621826232576 110.8269827 -32.3427211 17.414  2.871       0.430   1.6725  16.0782    19.20      nan      nan    2.721  nan      nan    nan   1.027     nan                                None      -8.417       4.886      -8.172       0.064       4.855       0.077
Gaia DR3 5592590479361329024 111.4035474 -32.5092312  8.596 -0.103       2.193   1.7496  16.0879    19.05      nan      nan    2.562  nan      nan    nan   1.283     nan                                None      -8.037       4.587      -7.026       0.035       5.204       0.037
Gaia DR3 5604733417057780480 109.7062398 -32.6077197 16.880  2.904       0.159   1.3707  16.1064    19.40      nan      nan    2.548  nan      nan    nan   1.005     nan                                None      -7.660       4.704      -7.611       0.050       4.774       0.064
Gaia DR3 5592851785173579392 110.7778554 -32.1175466 17.185  2.880       0.299   1.8753  16.1403    19.25      nan      nan    2.568  nan      nan    nan   1.013     nan                                None      -7.933       4.573      -7.788       0.058       4.501       0.078
Gaia DR3 5592853434440934016 110.9508252 -32.0322776 16.916  2.867       0.335   2.0002  16.1548    19.22      nan      nan    2.575  nan      nan    nan   1.060     nan                                None      -7.989       4.558      -7.996       0.065       4.740       0.079
Gaia DR3 5589994596823768704 111.4516385 -35.0555616 17.824  2.246       0.932   1.5490  16.1673    18.65      nan      nan    2.727  nan      nan    nan   1.034     nan                                None      -8.565       5.361      -8.807       0.091       4.883       0.101
Gaia DR3 5592413835945042432 111.4668754 -33.2575732 17.927  3.294       0.609   1.2682  16.1820    18.93      nan      nan    2.737  nan      nan    nan   0.989     nan                                None      -8.598       5.038      -8.286       0.102       4.876       0.118
Gaia DR3 5592082431965745408 112.9621928 -33.2346544 17.881  2.884       1.277   2.4253  16.1960    18.60      nan      nan    2.654  nan      nan    nan   0.981     nan                                None      -8.636       4.760      -8.102       0.083       5.234       0.089
Gaia DR3 5590758796065363968 109.2472840 -34.7574678 11.925  0.801       1.176   1.1307  16.2267    19.15      nan      nan    2.541  nan      nan    nan   1.015     nan                                None      -7.547       5.112      -7.476       0.012       4.486       0.015
Gaia DR3 5591440527638385536 113.0362547 -34.2900861 12.848  0.881       0.808   2.4012  16.2626    18.42      nan      nan    2.615  nan      nan    nan   1.012     nan                                None      -8.523       4.872      -8.080       0.013       4.913       0.015
Gaia DR3 5604923937503979776 110.6346026 -31.4903019 18.538  3.231       1.145   2.4632  16.3333    19.37      nan      nan    2.632  nan      nan    nan   1.077     nan                                None      -8.101       4.580      -7.694       0.141       5.068       0.163
Gaia DR3 5604923662629096960 110.5631649 -31.5045643 11.820  0.649       0.759   2.4402  16.3428    19.38      nan      nan    2.622  nan      nan    nan   0.902     nan                                None      -8.055       4.570      -7.699       0.010       4.793       0.012
Gaia DR3 5593208507967732096 111.6213984 -31.8112460 18.963  3.205       0.821   2.4375  16.3973    19.11      nan      nan    2.619  nan      nan    nan   1.013     nan                                None      -8.257       4.543      -8.596       0.175       4.243       0.206
Gaia DR3 5604950604968762624 110.2606980 -31.4588488 17.271  2.771       1.680   2.4647  16.4628    19.45      nan      nan    2.624  nan      nan    nan   1.921     nan                                None      -8.000       4.587      -7.510       0.186       3.798       0.268
Gaia DR3 5604898545660357888 110.4101021 -31.6288363 11.226  0.566       0.692   2.3023  16.5329    19.40      nan      nan    2.595  nan      nan    nan   1.156     nan                                None      -7.942       4.558      -7.686       0.015       4.837       0.018
Gaia DR3 5592915694285731200 112.4727230 -32.5261029 14.242  1.433       2.196   2.3787  16.5382    18.81      nan      nan    2.604  nan      nan    nan   1.155     nan                                None      -8.378       4.582      -9.353       0.016       3.873       0.018
Gaia DR3 5590758486827715200 109.2291606 -34.7685678 11.281  0.557       1.789   1.1489  16.5819    19.15      nan      nan    2.538  nan      nan    nan   1.005     nan                                None      -7.537       5.111      -8.493       0.014       5.174       0.020
Gaia DR3 5592882983816745984 111.2212642 -31.8018884 16.549  2.361       0.245   2.2968  16.6252    19.20      nan      nan    2.593  nan      nan    nan   0.984     nan                                None      -8.096       4.526      -8.209       0.042       4.598       0.044
Gaia DR3 5592885526437269632 111.3377582 -31.6979537 13.919  1.198       0.477   2.4311  16.6668    19.19      nan      nan    2.609  nan      nan    nan   1.020     nan                                None      -8.170       4.527      -7.986       0.013       4.713       0.014
Gaia DR3 5592898132159795328 110.9036824 -31.6386308 18.198  3.045       0.480   2.3654  16.7452    19.29      nan      nan    2.598  nan      nan    nan   1.043     nan                                None      -8.050       4.529      -7.908       0.126       4.750       0.134
Gaia DR3 5592355454450258688 111.3105143 -33.9160505 18.528  3.118       1.292   0.9461  16.7843    18.86      nan      nan    2.750  nan      nan    nan   0.936     nan                                None      -8.606       5.201      -7.948       0.134       4.842       0.174
Gaia DR3 5591234025608169728 112.6114394 -35.2606861 16.917  2.778       0.835   2.4143  16.8274    18.36      nan      nan    2.676  nan      nan    nan   1.019     nan                                None      -8.638       5.198      -8.386       0.055       4.800       0.055
Gaia DR3 5592362360756536192 111.2593649 -33.7024028 11.392  0.612       1.200   0.9311  16.8470    18.90      nan      nan    2.751  nan      nan    nan   0.903     nan                                None      -8.598       5.166      -7.921       0.014       5.330       0.019
Gaia DR3 5592895864413145856 110.8126069 -31.7369402 15.566  1.905       0.826   2.2510  16.9516    19.29      nan      nan    2.583  nan      nan    nan   1.002     nan                                None      -7.987       4.529      -8.312       0.030       4.840       0.029
Gaia DR3 5604912912333200384 110.7835812 -31.4869970 16.699  2.418       1.001   2.4894  16.9621    19.34      nan      nan    2.611  nan      nan    nan   1.056     nan                                None      -8.067       4.533      -7.569       0.045       4.768       0.050
Gaia DR3 5591336658148533376 112.7075621 -34.6135391 16.953  3.014       2.657   2.2077  16.9689    18.45      nan      nan    2.580  nan      nan    nan   1.140     nan                                None      -8.345       4.890      -9.761       0.058       4.601       0.065
Gaia DR3 5592887965967383040 111.1811469 -31.6703357 17.679    nan       1.048   2.4069  16.9841    19.22      nan      nan    2.598  nan      nan    nan   0.950     nan                                None      -8.107       4.515      -7.977       0.130       5.075       0.336
Gaia DR3 5589969067542592128 111.2086321 -35.2433622 18.714  2.874       2.454   1.5734  17.0071    18.67      nan      nan    2.735  nan      nan    nan   0.956     nan                                None      -8.537       5.431      -9.918       0.175       5.127       0.183
Gaia DR3 5604927961898796928 110.4635184 -31.4326286 12.249  0.738       0.550   2.5019  17.0610    19.41      nan      nan    2.668  nan      nan    nan   0.875     nan                                None      -8.177       4.645      -7.933       0.008       4.835       0.010
Gaia DR3 5592829275242383616 111.4888916 -32.0143202 18.929    nan       0.600   2.2054  17.0987    19.11      nan      nan    2.578  nan      nan    nan   0.984     nan                                None      -8.103       4.519      -7.882       0.163       4.759       0.190
Gaia DR3 5592833059115256832 111.3654354 -31.9874715 15.646  2.441       0.357   2.1792  17.1032    19.14      nan      nan    2.704  nan      nan    nan   2.130     nan                                None      -8.474       4.745      -8.411       0.052       4.939       0.060
Gaia DR3 5593202563741897984 111.8924685 -31.7907741 17.545  2.844       1.379   2.5760  17.2648    19.05      nan      nan    2.620  nan      nan    nan   0.994     nan                                None      -8.316       4.522      -9.032       0.069       4.781       0.085
Gaia DR3 5591771721156734976 112.3493532 -33.0765771 15.857  2.526       0.407   2.0041  17.2909    18.76      nan      nan    2.563  nan      nan    nan   1.644     nan                                None      -8.223       4.617      -8.007       0.050       4.659       0.064
Gaia DR3 5592885114120427776 111.3219571 -31.7291635 17.842  3.392       0.504   2.3971  17.3101    19.18      nan      nan    2.591  nan      nan    nan   1.143     nan                                None      -8.113       4.503      -7.860       0.100       4.394       0.118
Gaia DR3 5604916584519872000 110.9063992 -31.4014573 12.771  0.868       0.330   2.5959  17.3182    19.32      nan      nan    2.624  nan      nan    nan   0.931     nan                                None      -8.131       4.530      -8.162       0.010       4.710       0.012
Gaia DR3 5604956961518460288 110.2873566 -31.3052791 17.492  2.725       0.647   2.6189  17.3314    19.47      nan      nan    2.641  nan      nan    nan   1.021     nan                                None      -8.057       4.586      -7.757       0.074       4.785       0.086
Gaia DR3 5604919509402857728 110.8693109 -31.4006734 18.637    nan       0.303   2.5894  17.3320    19.33      nan      nan    2.658  nan      nan    nan   0.980     nan                                None      -8.228       4.591      -8.318       0.170       4.447       0.177
Gaia DR3 5604929057110687488 110.4283057 -31.3893586 16.875  2.551       1.514   2.5423  17.4126    19.43      nan      nan    2.608  nan      nan    nan   1.017     nan                                None      -7.987       4.536      -8.819       0.061       4.523       0.067
Gaia DR3 5592868346567243776 110.6842275 -31.9677228 15.415  2.504       0.363   2.0016  17.4493    19.29      nan      nan    2.561  nan      nan    nan   1.133     nan                                None      -7.894       4.541      -7.716       0.026       4.623       0.032
Gaia DR3 5592907688468478976 111.1097101 -31.4052931 13.471  1.092       0.185   2.6383  17.4601    19.28      nan      nan    2.638  nan      nan    nan   0.964     nan                                None      -8.215       4.539      -8.197       0.011       4.641       0.013
Gaia DR3 5592848070018543872 110.9278392 -32.1395405 18.496  2.952       0.841   1.8925  17.4725    19.21      nan      nan    2.726  nan      nan    nan   1.078     nan                                None      -8.451       4.846      -7.978       0.159       4.945       0.174
Gaia DR3 5591234918961312768 112.7320633 -35.2441027 14.900  1.558       1.388   2.4888  17.5421    18.34      nan      nan    2.682  nan      nan    nan   0.991     nan                                None      -8.680       5.196      -9.186       0.020       4.596       0.022
Gaia DR3 5590079400960902400 111.0089203 -34.5575018 19.685  2.886       1.655   0.9402  17.5557    18.82      nan      nan    2.756  nan      nan    nan   1.032     nan                                None      -8.563       5.361      -9.473       0.347       5.052       0.301
Gaia DR3 5592889993203281152 111.2430339 -31.6036722 10.916  0.474       0.623   2.4879  17.6197    19.22      nan      nan    2.596  nan      nan    nan   0.912     nan                                None      -8.111       4.494      -7.951       0.012       4.795       0.013
Gaia DR3 5591578890002712832 111.3932645 -34.3050371 18.240  3.112       2.733   1.0823  17.6791    18.78      nan      nan    2.754  nan      nan    nan   1.013     nan                                None      -8.638       5.277      -7.077       0.117       5.567       0.142
Gaia DR3 5591510037386629248 111.9935777 -34.7002477 14.187  1.235       0.488   1.6949  17.7249    18.59      nan      nan    2.546  nan      nan    nan   1.047     nan                                None      -8.098       4.898      -8.310       0.014       4.744       0.017
Gaia DR3 5603193585377883904 109.2911729 -33.1479138 18.129    nan       1.282   1.0662  17.7576    19.40      nan      nan    2.755  nan      nan    nan   1.015     nan                                None      -8.195       5.226      -8.844       0.199       5.590       0.180
Gaia DR3 5588217962135818240 112.7326697 -35.6034915 17.837  2.876       0.899   2.6937  17.8802    18.28      nan      nan    2.649  nan      nan    nan   0.959     nan                                None      -8.575       5.197      -8.408       0.079       4.723       0.087
Gaia DR3 5592737397301719808 110.2700884 -32.6413294 17.434  2.726       0.688   1.2837  17.9089    19.28      nan      nan    2.532  nan      nan    nan   1.062     nan                                None      -7.722       4.640      -7.978       0.070       4.904       0.079
Gaia DR3 5592586145732651136 111.4892975 -32.5879245 18.657  3.367       2.434   1.7312  17.9548    19.02      nan      nan    2.738  nan      nan    nan   1.191     nan                                None      -8.605       4.909      -9.999       0.172       5.084       0.195
Gaia DR3 5592818280122668032 111.6660680 -32.0225177 12.341  0.804       1.035   2.2767  17.9589    19.07      nan      nan    2.708  nan      nan    nan   1.717     nan                                None      -8.550       4.736      -7.982       0.018       4.901       0.023
Gaia DR3 5592402119274033536 111.1739273 -33.5660149 14.557  1.503       0.639   0.9073  17.9875    18.94      nan      nan    2.760  nan      nan    nan   1.004     nan                                None      -8.610       5.165      -8.241       0.016       5.213       0.019
Gaia DR3 5592844363470315904 110.7128125 -32.2150772 16.969  2.536       0.966   1.7667  18.0178    19.25      nan      nan    2.737  nan      nan    nan   1.008     nan                                None      -8.440       4.898      -7.890       0.056       4.988       0.070
Gaia DR3 5592966306184262400 112.5665248 -32.0891975 18.186  2.880       0.668   2.7198  18.0356    18.86      nan      nan    2.631  nan      nan    nan   0.992     nan                                None      -8.485       4.543      -8.155       0.109       4.713       0.138
Gaia DR3 5605156488517623936 109.6252391 -31.2744437 13.238  1.002       0.608   2.6874  18.1697    19.62      nan      nan    2.614  nan      nan    nan   0.981     nan                                None      -7.842       4.581      -7.757       0.010       4.905       0.012
Gaia DR3 5592608926239222656 111.6391331 -32.5774962 18.458  3.183       1.188   1.8213  18.1943    18.99      nan      nan    2.546  nan      nan    nan   0.943     nan                                None      -8.033       4.553      -8.666       0.110       4.485       0.134
Gaia DR3 5592813366680957824 111.7311133 -32.1541022 18.034  2.869       0.977   2.1996  18.1979    19.03      nan      nan    2.717  nan      nan    nan   0.979     nan                                None      -8.589       4.770      -8.045       0.103       4.642       0.120
Gaia DR3 5605293583865331456 111.1052706 -31.2960251 17.829  2.913       0.276   2.7418  18.2363    19.29      nan      nan    2.627  nan      nan    nan   1.018     nan                                None      -8.180       4.500      -8.034       0.084       4.548       0.101
Gaia DR3 5590308747911883904 108.5571530 -35.9212776 19.068  3.108       2.624   2.3969  18.3005    19.09      nan      nan    2.577  nan      nan    nan   1.064     nan                                None      -7.516       5.449      -7.278       0.192       6.855       0.223
Gaia DR3 5591636339483886080 111.9064014 -33.6655285 19.531  2.920       2.589   1.4653  18.3042    18.77      nan      nan    2.750  nan      nan    nan   1.091     nan                                None      -8.731       5.103      -7.488       0.273       5.945       0.275
Gaia DR3 5602680594486628992 107.8927874 -34.1844824 14.443  1.393       2.726   1.9051  18.3187    19.52      nan      nan    2.549  nan      nan    nan   0.971     nan                                None      -7.300       5.124      -6.431       0.017       6.302       0.020
Gaia DR3 5590746937656475136 109.3151666 -34.9434919 18.989  3.058       2.976   1.2411  18.3358    19.11      nan      nan    2.756  nan      nan    nan   0.966     nan                                None      -8.203       5.577      -6.487       0.186       5.786       0.230
Gaia DR3 5603565250372784128 107.8907579 -31.8903805 18.082  2.519       2.283   2.7912  18.4844    19.88      nan      nan    2.645  nan      nan    nan   1.035     nan                                None      -7.575       4.877      -6.314       0.098       4.710       0.112
Gaia DR3 5592452696810936064 111.1810535 -33.3919858 17.899    nan       1.388   0.9944  18.6487    18.97      nan      nan    2.764  nan      nan    nan   1.277     nan                                None      -8.623       5.138      -8.228       0.487       5.843       0.399
Gaia DR3 5593217235349990144 111.7396096 -31.6354328 15.289  1.819       0.229   2.6401  18.6616    19.11      nan      nan    2.686  nan      nan    nan   0.927     nan                                None      -8.493       4.617      -8.389       0.022       4.695       0.029
Gaia DR3 5603537900020530560 107.8534116 -32.3234442 18.335  3.033       2.779   2.5142  18.6894    19.82      nan      nan    2.700  nan      nan    nan   1.019     nan                                None      -7.725       5.067      -7.072       0.140       6.508       0.140
Gaia DR3 5589737242382973312 112.0747443 -35.5321800 19.102  3.421       0.901   2.2452  18.7134    18.44      nan      nan    2.562  nan      nan    nan   0.963     nan                                None      -8.165       5.068      -7.690       0.173       4.962       0.237
Gaia DR3 5592828523629838208 111.2795618 -31.9336239 17.136  2.686       0.486   2.1958  18.8525    19.16      nan      nan    2.557  nan      nan    nan   1.060     nan                                None      -7.998       4.484      -8.258       0.064       4.453       0.068
Gaia DR3 5592834467864569472 111.2800518 -31.9202950 17.659  2.827       0.072   2.2081  18.9397    19.17      nan      nan    2.557  nan      nan    nan   0.988     nan                                None      -7.997       4.482      -7.958       0.078       4.478       0.089
Gaia DR3 5604927510917553280 110.6589024 -31.3291734 19.037  3.055       0.446   2.6256  18.9406    19.39      nan      nan    2.588  nan      nan    nan   1.073     nan                                None      -7.970       4.472      -7.877       0.206       4.697       0.219
Gaia DR3 5590138392331012224 108.7471338 -36.5230624 17.193  3.148       1.401   2.8487  18.9725    18.95      nan      nan    2.625  nan      nan    nan   3.769     nan                                None      -7.695       5.646      -8.215       0.230       6.221       0.280
Gaia DR3 5591432311357145216 112.9243998 -34.4809327 18.702  3.254       1.107   2.3451  18.9881    18.42      nan      nan    2.717  nan      nan    nan   0.962     nan                                None      -8.834       5.107      -9.463       0.151       5.028       0.179
Gaia DR3 5603116275970767360 107.8758676 -33.7073409 15.390  2.135       0.808   1.9184  19.0691    19.60      nan      nan    2.543  nan      nan    nan   2.069     nan                                None      -7.279       5.025      -6.978       0.041       4.715       0.050
Gaia DR3 5590627090890157056 108.2171048 -34.7139687 18.463  3.200       2.741   1.7970  19.0757    19.37      nan      nan    2.746  nan      nan    nan   1.075     nan                                None      -7.935       5.599      -9.507       0.134       5.813       0.135
Gaia DR3 5604999185333256960 110.0674070 -31.0568183 18.301  3.151       0.413   2.8668  19.1603    19.55      nan      nan    2.621  nan      nan    nan   1.001     nan                                None      -7.954       4.522      -7.754       0.110       4.633       0.144
Gaia DR3 5592890474239959936 110.9011667 -31.8803296 15.843  2.053       0.692   2.1322  19.2113    19.25      nan      nan    2.551  nan      nan    nan   1.138     nan                                None      -7.903       4.491      -7.854       0.030       4.860       0.037
Gaia DR3 5590670315438423168 109.7481114 -35.3468366 18.629  3.144       1.648   1.4663  19.2271    18.95      nan      nan    2.527  nan      nan    nan   0.957     nan                                None      -7.605       5.151      -7.496       0.128       6.022       0.146
Gaia DR3 5589636572651211008 111.1208810 -36.3194468 12.540  0.851       2.929   2.5200  19.2442    18.51      nan      nan    2.574  nan      nan    nan   1.605     nan                                None      -8.018       5.309      -7.630       0.018       3.768       0.019
Gaia DR3 5592765022532669440 110.4253798 -32.2133031 18.456  3.178       0.866   1.7223  19.2802    19.31      nan      nan    2.751  nan      nan    nan   0.935     nan                                None      -8.422       4.945      -7.953       0.111       4.766       0.132
Gaia DR3 5586697200113102720 112.6795647 -35.9542529 14.564  1.855       1.033   2.8911  19.3654    18.24      nan      nan    2.661  nan      nan    nan   1.341     nan                                None      -8.603       5.287      -9.089       0.022       4.972       0.023
Gaia DR3 5591016489802360064 108.6374568 -34.2642517 18.998  2.699       2.376   1.3147  19.3678    19.36      nan      nan    2.522  nan      nan    nan   1.043     nan                                None      -7.372       5.032      -6.657       0.205       6.073       0.246
Gaia DR3 5593263341813388032 111.4878806 -31.5568397 10.700  0.385       1.339   2.6121  19.3791    19.17      nan      nan    2.580  nan      nan    nan   0.889     nan                                None      -8.108       4.439      -8.836       0.011       4.435       0.013
Gaia DR3 5592516709001550720 111.6850327 -33.0183781 18.181  2.941       0.202   1.5535  19.3930    18.92      nan      nan    2.528  nan      nan    nan   0.995     nan                                None      -7.983       4.595      -7.993       0.109       4.487       0.120
Gaia DR3 5591614009957053056 111.7109199 -33.9597998 17.436  2.657       1.199   1.2786  19.4457    18.77      nan      nan    2.765  nan      nan    nan   1.884     nan                                None      -8.737       5.204      -9.005       0.143       4.558       0.162
Gaia DR3 5592191872039603200 112.9801966 -32.4325676 16.022  2.095       0.451   2.7837  19.4972    18.71      nan      nan    2.596  nan      nan    nan   1.047     nan                                None      -8.450       4.511      -8.682       0.032       4.425       0.035
Gaia DR3 5592410120796026880 111.4878953 -33.3150743 19.334  2.656       1.531   1.2540  19.5349    18.91      nan      nan    2.520  nan      nan    nan   1.040     nan                                None      -7.920       4.647      -8.708       0.233       4.846       0.260
Gaia DR3 5602636403564501120 107.4320659 -34.7367987 19.917  2.581       2.906   2.4034  19.5577    19.51      nan      nan    2.562  nan      nan    nan   1.069     nan                                None      -7.245       5.285      -8.330       0.409       6.418       0.447
Gaia DR3 5592836009752232832 111.5072122 -31.8100325 18.258    nan       0.522   2.3921  19.5632    19.13      nan      nan    2.561  nan      nan    nan   1.078     nan                                None      -8.054       4.452      -8.336       0.122       4.438       0.130
Gaia DR3 5591855215314826752 113.6948582 -33.6906696 18.935  3.306       1.107   2.9375  19.6048    18.37      nan      nan    2.658  nan      nan    nan   1.015     nan                                None      -8.793       4.788      -9.413       0.170       4.808       0.201
Gaia DR3 5604898824839628672 110.3874544 -31.6090482 16.343  2.298       0.647   2.3205  19.6296    19.41      nan      nan    2.556  nan      nan    nan   0.919     nan                                None      -7.820       4.488      -7.766       0.037       4.833       0.041
Gaia DR3 5605067565507481856 109.1775647 -31.3947839 18.574    nan       0.878   2.6621  19.6428    19.69      nan      nan    2.580  nan      nan    nan   0.986     nan                                None      -7.651       4.576      -7.813       0.189       5.026       0.164
Gaia DR3 5589656088982368768 111.0502421 -36.0676116 15.475  2.330       0.108   2.2631  19.6447    18.56      nan      nan    2.730  nan      nan    nan   0.997     nan                                None      -8.490       5.591      -8.551       0.024       5.605       0.029
Gaia DR3 5592564812631746304 111.6103714 -32.9572555 19.841  2.701       2.121   1.5411  19.6448    18.94      nan      nan    2.760  nan      nan    nan   0.992     nan                                None      -8.700       5.010      -7.795       0.335       4.171       0.383
Gaia DR3 5589713091789522432 112.1366797 -35.8084523 18.806  2.702       1.357   2.4819  19.6761    18.38      nan      nan    2.566  nan      nan    nan   1.131     nan                                None      -8.190       5.118      -7.545       0.196       4.767       0.238
Gaia DR3 5590862729973640320 110.6693581 -34.1104651 17.660  2.889       1.115   0.4543  19.6800    18.96      nan      nan    2.779  nan      nan    nan   0.911     nan                                None      -8.562       5.348      -7.910       0.075       5.386       0.080
