GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 5590907809954509440 110.2713959 -34.0754555 18.729  3.219       0.357   0.1745  10.0469    19.05      nan      nan    2.569  nan      nan    nan   1.089     nan                                None      -7.836       4.968      -8.010       0.173       5.052       0.198
Gaia DR3 5592785951913278976 110.8870032 -32.5374571 16.416  2.331       0.148   1.5090  10.0849    19.16      nan      nan    2.647  nan      nan    nan   0.998     nan                                None      -8.199       4.785      -8.280       0.034       4.766       0.043
Gaia DR3 5590678802293868416 109.4480278 -35.3221127 18.938  3.101       2.338   1.5208  10.1030    19.02      nan      nan    2.631  nan      nan    nan   1.045     nan                                None      -7.859       5.384      -9.092       0.157       5.785       0.191
Gaia DR3 5591526495701204096 111.6518702 -34.4433853 14.374  1.279       1.902   1.3317  10.1390    18.70      nan      nan    2.673  nan      nan    nan   0.972     nan                                None      -8.433       5.124      -9.351       0.015       5.677       0.018
Gaia DR3 5591533195850163456 111.6715992 -34.3605008 17.766  2.883       0.303   1.3174  10.2630    18.71      nan      nan    2.600  nan      nan    nan   1.037     nan                                None      -8.209       4.969      -8.160       0.086       4.810       0.104
Gaia DR3 5592559727395814784 111.4735163 -32.9536010 18.195  3.031       0.898   1.4563  10.3423    18.97      nan      nan    2.612  nan      nan    nan   0.859     nan                                None      -8.206       4.751      -8.697       0.108       4.695       0.124
Gaia DR3 5592752245010280320 110.3553744 -32.4706854 13.572  1.038       0.184   1.4599  10.5768    19.28      nan      nan    2.608  nan      nan    nan   0.953     nan                                None      -7.971       4.741      -8.065       0.012       4.778       0.013
Gaia DR3 5591737567576190848 111.9849854 -33.3793165 16.791  2.624       0.354   1.6051  10.6248    18.79      nan      nan    2.638  nan      nan    nan   0.968     nan                                None      -8.392       4.838      -8.496       0.047       4.670       0.050
Gaia DR3 5590015457486859904 111.3872265 -34.8451030 13.085  0.978       0.817   1.3638  10.6641    18.69      nan      nan    2.677  nan      nan    nan   0.928     nan                                None      -8.395       5.229      -7.963       0.010       5.067       0.011
Gaia DR3 5592713968260530944 110.2370613 -32.6574781 11.440  0.774       1.900   1.2661  10.8635    19.28      nan      nan    2.590  nan      nan    nan   3.528     nan                                None      -7.893       4.752      -8.563       0.049       5.543       0.054
Gaia DR3 5592788009198903168 110.9411975 -32.4656764 19.618  2.848       0.555   1.5931  10.8967    19.16      nan      nan    2.619  nan      nan    nan   1.094     nan                                None      -8.121       4.716      -8.218       0.260       5.006       0.330
Gaia DR3 5591628269248524160 111.5286610 -33.9178612 17.497  2.919       0.145   1.1271  11.1627    18.81      nan      nan    2.696  nan      nan    nan   1.045     nan                                None      -8.482       5.082      -8.400       0.106       5.078       0.111
Gaia DR3 5592696376073633536 110.7678014 -32.4789346 17.584  2.769       0.198   1.5275  11.2004    19.20      nan      nan    2.671  nan      nan    nan   0.948     nan                                None      -8.250       4.827      -8.184       0.068       4.916       0.089
Gaia DR3 5590299131484503424 109.3666612 -35.4716944 17.274  2.778       2.238   1.6844  11.2032    19.01      nan      nan    2.645  nan      nan    nan   1.477     nan                                None      -7.883       5.446      -9.039       0.085       5.916       0.100
Gaia DR3 5604745546045121408 109.8629827 -32.3951262 17.596  2.860       0.658   1.5487  11.4402    19.40      nan      nan    2.673  nan      nan    nan   1.012     nan                                None      -8.070       4.883      -7.746       0.079       5.065       0.092
Gaia DR3 5591508250680300544 111.7799095 -34.6895545 17.917  2.910       1.983   1.5350  11.4896    18.64      nan      nan    2.675  nan      nan    nan   0.994     nan                                None      -8.468       5.164      -7.663       0.087       5.940       0.101
Gaia DR3 5592452696802088832 111.1809140 -33.3922994 14.816  1.637       0.370   0.9942  11.5324    18.97      nan      nan    2.573  nan      nan    nan   1.779     nan                                None      -8.026       4.782      -8.159       0.029       4.932       0.034
Gaia DR3 5592710429207594496 110.1780050 -32.8297929 17.007  2.906       0.215   1.0926  11.7075    19.27      nan      nan    2.703  nan      nan    nan   1.803     nan                                None      -8.224       4.996      -8.342       0.085       4.963       0.094
Gaia DR3 5592762548628967680 110.4891944 -32.1910844  8.854 -0.071       0.483   1.7517  11.9680    19.30      nan      nan    2.617  nan      nan    nan   1.005     nan                                None      -8.027       4.696      -8.150       0.022       4.933       0.027
Gaia DR3 5591191728765323904 109.6228650 -33.2495892 16.704    nan       1.818   0.8128  12.0120    19.32      nan      nan    2.564  nan      nan    nan   1.044     nan                                None      -7.692       4.858      -7.511       0.059       5.823       0.071
Gaia DR3 5591179977739857920 109.2864269 -33.3532216 16.461  2.280       2.130   0.9303  12.0994    19.37      nan      nan    2.566  nan      nan    nan   0.994     nan                                None      -7.632       4.905      -7.234       0.040       5.987       0.050
Gaia DR3 5604749806656139520 109.5726034 -32.4997920 14.449  0.886       2.578   1.5079  12.1518    19.45      nan      nan    2.687  nan      nan    nan  21.422     nan                                None      -8.049       4.950      -8.326       0.373       3.516       0.448
Gaia DR3 5592858347883442560 110.6150295 -32.1156944  9.769  0.119       0.359   1.8447  12.2988    19.28      nan      nan    2.628  nan      nan    nan   0.950     nan                                None      -8.084       4.691      -7.986       0.015       4.865       0.018
Gaia DR3 5590647333073099776 108.3091008 -34.5603068 16.115  1.969       2.331   1.6657  12.3533    19.37      nan      nan    2.599  nan      nan    nan   0.988     nan                                None      -7.531       5.265      -8.341       0.031       6.253       0.037
Gaia DR3 5592860645683055616 110.4617959 -32.0956982 17.624  2.896       0.531   1.8429  12.3634    19.32      nan      nan    2.652  nan      nan    nan   1.001     nan                                None      -8.128       4.743      -8.243       0.071       5.017       0.082
Gaia DR3 5592839686245415296 110.8134914 -32.3275061 19.577  2.824       1.156   1.6833  12.3874    19.21      nan      nan    2.601  nan      nan    nan   0.995     nan                                None      -8.040       4.667      -8.046       0.250       5.301       0.326
Gaia DR3 5592540245416913664 111.9918677 -32.8250356 17.897  2.784       0.126   1.8755  12.4192    18.88      nan      nan    2.635  nan      nan    nan   1.022     nan                                None      -8.383       4.730      -8.449       0.082       4.706       0.099
Gaia DR3 5591563599917988992 112.1051040 -34.0946758 18.564  3.155       0.941   1.6130  12.5705    18.66      nan      nan    2.685  nan      nan    nan   0.990     nan                                None      -8.563       5.045      -8.525       0.147       4.514       0.151
Gaia DR3 5604791862973284480 110.0902255 -32.0321736 16.280  2.306       0.225   1.8914  12.6923    19.41      nan      nan    2.653  nan      nan    nan   0.990     nan                                None      -8.054       4.760      -7.988       0.039       4.867       0.042
Gaia DR3 5592861749497777664 110.5850428 -32.0637029 16.244  2.251       0.131   1.8909  12.7616    19.30      nan      nan    2.621  nan      nan    nan   0.996     nan                                None      -8.057       4.672      -8.026       0.034       4.737       0.039
Gaia DR3 5604742556747843584 109.9791894 -32.4006043 15.181  1.798       1.970   1.5301  12.8326    19.38      nan      nan    2.693  nan      nan    nan   0.981     nan                                None      -8.155       4.912      -7.372       0.020       5.711       0.022
Gaia DR3 5592541894690663168 112.0470398 -32.7840105 15.424  2.077       0.286   1.9372  12.8385    18.87      nan      nan    2.643  nan      nan    nan   1.032     nan                                None      -8.418       4.731      -8.486       0.024       4.876       0.029
Gaia DR3 5604784750507564544 109.9641399 -32.1546095 13.786  1.366       1.084   1.7762  12.8518    19.42      nan      nan    2.602  nan      nan    nan   1.093     nan                                None      -7.875       4.701      -8.462       0.015       4.799       0.017
Gaia DR3 5592674523280213504 110.9856586 -32.7495535 18.589  3.068       0.385   1.3562  12.8799    19.11      nan      nan    2.575  nan      nan    nan   1.060     nan                                None      -7.994       4.684      -7.803       0.156       4.769       0.191
Gaia DR3 5604778011699119232 110.3158884 -32.0266528  9.325 -0.009       0.190   1.8996  12.9689    19.36      nan      nan    2.660  nan      nan    nan   1.086     nan                                None      -8.123       4.756      -8.106       0.022       4.650       0.024
