index,hostname,gaia_id,rv,ok,runtime_s,output_dir,error
9,WASP-32,2546413408888429696,18.27012634,0,5.97,,HTTPError("Error 404:\nJob 'f3798828-112c-11f1-91f6-bc97e148b76b-O' not found.")
10,WASP-158,2424621502311961344,24.67984581,0,15.79,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
1,HIP_65_A,4923860051276772608,21.18428993,1,0.00,None,
1,HIP_65_A,4923860051276772608,21.18428993,0,4.48,,HTTPError('Error 500:\nnull')
2,WASP-136,2441013811932929280,11.21512794,0,10.82,,HTTPError("Error 404:\nJob '190a4f76-112e-11f1-91f6-bc97e148b76b-O' not found.")
3,KELT-1,2881784280929695360,-14.20667267,1,22.43,ALL_RUNS\GaiaDR32881784280929695360_friends,
4,HATS-34,4904523077718046720,19.81319046,0,13.59,,HTTPError('Error 500:\nnull')
5,WASP-96,4990044668377961984,-1.097559452,1,23.47,ALL_RUNS\GaiaDR34990044668377961984_friends,
6,TOI-198,2333676738050041728,19.7009964,0,13.94,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
7,WASP-44,2424406513428936832,-3.095204592,0,1.65,,HTTPError('500')
8,Gliese_12,2768048564768256512,51.04111099,0,6.82,,HTTPError('500')
9,WASP-32,2546413408888429696,18.27012634,1,16.07,ALL_RUNS\GaiaDR32546413408888429696_friends,
10,WASP-158,2424621502311961344,24.67984581,0,18.19,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
1,WASP-136,2441013811932929000,11.21512794,0,4.62,,HTTPError('Error 500:\nnull')
2,KELT-1,2881784280929696000,-14.20667267,0,14.19,,HTTPError("Error 404:\nJob '079ec530-1130-11f1-91f6-bc97e148b76b-O' not found.")
3,HATS-34,4904523077718047000,19.81319046,0,0.97,,HTTPError('500')
4,WASP-96,4990044668377961000,-1.097559452,0,2.69,,HTTPError('500')
0,HIP_65_A,4923860051276772000,21.18428993,1,92.73,ALL_RUNS\GaiaDR34923860051276772000_friends,
1,WASP-136,2441013811932929000,11.21512794,1,19.97,ALL_RUNS\GaiaDR32441013811932929000_friends,
2,KELT-1,2881784280929696000,-14.20667267,0,7.30,,HTTPError("Error 404:\nJob '7f1584c5-1130-11f1-91f6-bc97e148b76b-O' not found.")
3,HATS-34,4904523077718047000,19.81319046,0,6.34,,HTTPError('Error 500:\nnull')
4,WASP-96,4990044668377961000,-1.097559452,0,4.93,,HTTPError("Error 404:\nJob '8c7103de-1130-11f1-91f6-bc97e148b76b-O' not found.")
5,TOI-198,2333676738050042000,19.7009964,0,3.59,,HTTPError("Error 404:\nJob '928edf75-1130-11f1-91f6-bc97e148b76b-O' not found.")
6,WASP-44,2424406513428936700,-3.095204592,0,16.88,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
0,HIP_65_A,4923860051276772608,21.18428993,1,106.81,ALL_RUNS\GaiaDR34923860051276772608_friends,
1,WASP-136,2441013811932929280,11.21512794,1,25.01,ALL_RUNS\GaiaDR32441013811932929280_friends,
2,KELT-1,2881784280929695360,-14.20667267,0,8.03,,HTTPError("Error 404:\nJob '903c01a7-1131-11f1-91f6-bc97e148b76b-O' not found.")
3,HATS-34,4904523077718046720,19.81319046,1,22.88,ALL_RUNS\GaiaDR34904523077718046720_friends,
4,WASP-96,4990044668377961984,-1.097559452,0,1.09,,HTTPError('500')
0,HIP_65_A,4923860051276772608,21.18428993,1,68.43,ALL_RUNS\GaiaDR34923860051276772608_friends,
1,WASP-136,2441013811932929280,11.21512794,0,6.82,,HTTPError('Error 500:\nnull')
2,KELT-1,2881784280929695360,-14.20667267,0,6.91,,HTTPError('500')
3,HATS-34,4904523077718046720,19.81319046,1,30.46,ALL_RUNS\GaiaDR34904523077718046720_friends,
0,HIP_65_A,4923860051276772608,21.18428993,1,71.50,ALL_RUNS\GaiaDR34923860051276772608_friends,
1,WASP-136,2441013811932929280,11.21512794,0,1.91,,HTTPError('500')
2,KELT-1,2881784280929695360,-14.20667267,0,4.47,,HTTPError('Error 500:\nnull')
3,HATS-34,4904523077718046720,19.81319046,0,6.28,,HTTPError("Error 404:\nJob 'a589307e-1133-11f1-91f6-bc97e148b76b-O' not found.")
4,WASP-96,4990044668377961984,-1.097559452,1,25.27,ALL_RUNS\GaiaDR34990044668377961984_friends,
5,TOI-198,2333676738050041728,19.7009964,0,5.05,,HTTPError('500')
6,WASP-44,2424406513428936832,-3.095204592,0,6.44,,HTTPError('500')
7,Gliese_12,2768048564768256512,51.04111099,0,4.87,,HTTPError("Error 404:\nJob 'cd1cb9a6-1133-11f1-91f6-bc97e148b76b-O' not found.")
8,WASP-32,2546413408888429696,18.27012634,1,32.21,ALL_RUNS\GaiaDR32546413408888429696_friends,
9,WASP-158,2424621502311961344,24.67984581,1,23.11,ALL_RUNS\GaiaDR32424621502311961344_friends,
10,HD_1397,4707634458245031552,30.64109993,1,95.98,ALL_RUNS\GaiaDR34707634458245031552_friends,
11,TOI-6016,428360006379022592,-48.52323151,0,4.00,,HTTPError("Error 404:\nJob '38ecd62a-1134-11f1-91f6-bc97e148b76b-O' not found.")
12,WASP-26,2416782701664155008,9.0658741,0,3.66,,HTTPError("Error 404:\nJob '3e81d2b3-1134-11f1-91f6-bc97e148b76b-O' not found.")
