target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,csv_path
TOI-406,6,6,6,0,5.3051647697298455e-05,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-406.csv
LHS_1478,4,4,4,0,3.53677651315323e-05,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\LHS_1478.csv
LHS_1140,3,3,3,0,2.6525823848649227e-05,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\LHS_1140.csv
LHS_1678,3,3,3,0,2.6525823848649227e-05,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\LHS_1678.csv
TOI-4527,3,3,3,0,2.6525823848649227e-05,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-4527.csv
LTT_1445_A,2,2,2,0,1.768388256576615e-05,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\LTT_1445_A.csv
GJ_143,1,1,1,0,8.841941282883075e-06,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\GJ_143.csv
Gliese_12,0,0,0,0,0.0,0.0,,,,,,,,,insufficient_data,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\Gliese_12.csv
K2-136,1494,1494,1001,93,0.008850783224165958,7.957747154594768e-05,111.22222222222221,0.9910891089108912,0.8860155610214016,0.10507354788948964,0.8939817348967187,0.990108803165183,0.9029126213592233,0.8939817348967187,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-136.csv
K2-77,6437,6437,1173,1784,0.010371597124821847,0.00152651837890291,6.794282511210763,0.8717008270406329,0.8595143599222419,0.012186467118390998,0.9860198972625008,0.9915469146238377,0.9944258639910813,0.9860198972625008,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-77.csv
K2-91,757,757,254,184,0.0022458530858523013,0.00015744359961778894,14.264492753623191,0.9344884880132923,0.8527462897490867,0.08174219826420559,0.9125273352077475,0.9621212121212122,0.9484536082474226,0.9125273352077475,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-91.csv
TOI-1696,606,606,172,198,0.001520813900655889,0.00016942300393653375,8.976430976430978,0.8997637529530881,0.8094451175657852,0.09031863538730289,0.8996196111580725,0.945054945054945,0.9519230769230769,0.8996196111580727,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1696.csv
HD_6061,832,832,215,345,0.0019010173758198612,0.0002952067492833543,6.4396135265700485,0.8655844155844156,0.8038150112798,0.06176940430461553,0.9286384976525822,0.9555555555555556,0.971830985915493,0.9286384976525822,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_6061.csv
