Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1272123859439770368,229.8374198,29.207932,9.724,1.547,0.0,0.0,0.0,-25.57,-25.57,0.14,35.666,,,,1.233,,Gaia_DR3,-141.017,395.497,-141.017,0.01,395.497,0.012
Gaia,DR3,1657946200476052864,211.0549701,56.6310524,14.936,3.072,2.534,30.4509,21.805,6.23,-50.97,5.93,24.564,,,,1.238,,Gaia_DR3,-171.99,265.643,-159.337,0.025,262.161,0.027
Gaia,DR3,6109949904687424640,212.9953989,-41.539722,13.419,3.931,1.78,72.4399,26.7391,-52.45,-13.18,2.37,109.732,,,,9.244,,Gaia_DR3,-736.997,-42.735,-704.221,0.289,-67.648,0.389
Gaia,DR3,5970956070030449792,251.0624486,-38.9439029,7.191,1.231,2.666,70.9679,26.9869,-61.05,-19.29,0.12,70.322,,,,0.914,,Gaia_DR3,-1.53,-94.864,-20.48,0.025,-60.189,0.019
Gaia,DR3,5970189332424492160,254.1780948,-39.1373593,8.07,1.452,1.894,72.0111,27.5789,-60.98,-8.95,0.13,63.726,,,,0.924,,Gaia_DR3,36.248,-88.139,51.247,0.026,-108.699,0.02
Gaia,DR3,5970189504223192960,254.202689,-39.094407,10.381,2.515,2.062,71.9786,27.5794,-60.98,-7.0,2.35,63.582,,,,0.951,,Gaia_DR3,36.462,-87.317,56.065,0.023,-106.791,0.018
Gaia,DR3,5970189504209690496,254.2016799,-39.0940179,11.785,2.96,2.125,71.9779,27.5829,-60.98,-7.43,1.92,63.523,,,,1.255,,Gaia_DR3,36.416,-87.231,46.904,0.042,-113.685,0.033
Gaia,DR3,6078114541943893888,189.4600973,-52.0013463,9.565,2.489,1.205,88.5776,29.3769,-41.35,-5.93,0.14,105.347,,,,1.005,,Gaia_DR3,-1007.953,29.615,-1034.71,0.019,29.792,0.017
